"","Property_ID","Listing_Title","Listing_Type","Created","Scraped","Airbnb_PID","Airbnb_HID","HomeAway_PID","HomeAway_HID","winner","Permit","ETBL_ID","n_reserved","n_available","revenue","FREH","ML","LFRML","geometry","GH","Legal","n_diff"
"438","ab-30981293","Prime Location Studio Plateau/Mcgill/DT","Entire home/apt",2018-12-24,2019-05-24,30981293,50027321,NA,NA,24663346,FALSE,NA,95,137,3986,FALSE,TRUE,FALSE,c(611337.279298016, 5041127.82120907),FALSE,FALSE,127
"439","ab-30982800","Loft atypique et discret pour vos soirées !","Entire home/apt",2018-12-31,2019-05-21,30982800,3082096,NA,NA,24661966,FALSE,NA,17,151,14355,FALSE,TRUE,FALSE,c(609727.511248083, 5043242.05592309),FALSE,FALSE,120
"440","ab-30984249","Cozy & Authentic 3 BR apartment in prime Montreal","Entire home/apt",2018-12-31,2019-03-21,30984249,194987714,NA,NA,24661281,FALSE,NA,84,134,7592,FALSE,FALSE,FALSE,c(611477.169311304, 5040422.39637642),FALSE,TRUE,120
"441","ab-31008176","BEAUTIFUL HOLIDAY HOUSE-MONT ROYAL DISTRICT","Entire home/apt",2018-12-31,2019-05-21,31008176,231577563,NA,NA,24662028,FALSE,NA,98,122,35727,FALSE,TRUE,FALSE,c(611308.770036375, 5043788.92796579),FALSE,FALSE,120
"442","ab-31016165","Appartement à côté de la place aux festivals","Entire home/apt",2018-12-29,2019-04-14,31016165,49558396,NA,NA,24661271,FALSE,NA,21,147,798,FALSE,TRUE,TRUE,c(611466.793888601, 5040654.47745622),FALSE,TRUE,122
"443","ab-31017562","Cozy and warm penthouse & indoor parking","Entire home/apt",2018-12-31,2019-03-26,31017562,73514588,NA,NA,24661941,FALSE,NA,6,124,640,FALSE,TRUE,FALSE,c(611249.20940903, 5041159.59784565),FALSE,FALSE,120
"444","ab-31018407","The ChiCozy  -  Perfect location!","Entire home/apt",2018-12-31,2019-05-24,31018407,33260015,NA,NA,24661437,FALSE,NA,81,136,7426,FALSE,TRUE,TRUE,c(610145.919840427, 5042543.71085994),FALSE,TRUE,120
"445","ab-31020644","Modern 1 bedroom -Downtown Quartier des spectacles","Entire home/apt",2018-12-31,2019-01-24,31020644,22363426,NA,NA,24661264,FALSE,NA,3,149,226,FALSE,TRUE,TRUE,c(611943.30640554, 5040968.13816812),FALSE,TRUE,120
"446","ab-31023398","appartement plateau proche du centre ville","Private room",2018-12-31,2019-05-24,31023398,92479285,NA,NA,24661942,FALSE,NA,15,151,555,FALSE,FALSE,FALSE,c(610926.039251587, 5041054.96627949),FALSE,TRUE,120
"447","ab-31024837","Un beau 3 1/2 au cœur du plateau Mont-Royal","Entire home/apt",2018-12-31,2019-05-22,31024837,102555902,NA,NA,24663350,FALSE,NA,13,143,985,FALSE,FALSE,FALSE,c(611607.07112736, 5041158.17702044),FALSE,TRUE,120
"448","ab-31031993","Location Magnifique Condo construit en 2012","Entire home/apt",2018-12-26,2018-12-26,31031993,231784187,NA,NA,24661892,FALSE,NA,0,149,0,FALSE,TRUE,TRUE,c(611926.918886068, 5042810.83160399),FALSE,TRUE,125
"449","ab-31032017","Magnifique Condo à louer sur Montréal","Entire home/apt",2018-12-23,2019-01-16,31032017,231784187,NA,NA,24661889,FALSE,NA,1,150,35,FALSE,TRUE,FALSE,c(611947.399996773, 5042663.04949068),FALSE,FALSE,128
"450","ab-31036335","Beautiful 1 bedroom apartment - central location","Entire home/apt",2018-12-31,2019-03-21,31036335,24616782,NA,NA,24661851,FALSE,NA,94,127,5582,FALSE,FALSE,FALSE,c(612189.017268435, 5041907.59118872),FALSE,TRUE,120
"451","ab-31039631","Chambre privé pour 1 ou 2 personnes","Private room",2018-12-23,2019-03-18,31039631,229704028,NA,NA,24661802,FALSE,NA,3,146,156,FALSE,FALSE,FALSE,c(611979.356659452, 5043410.80002453),FALSE,TRUE,128
"452","ab-31041232","ARCHITECT'S HOME DOWNTOWN","Entire home/apt",2019-01-07,2019-05-23,31041232,229505184,NA,NA,24661269,FALSE,NA,44,120,32935,FALSE,TRUE,FALSE,c(611567.371016384, 5040710.72025652),FALSE,FALSE,113
"453","ab-31041440","CLASSY FEEL PLATEAU (with Terrace)","Entire home/apt",2018-12-31,2019-05-21,31041440,229505184,NA,NA,24661960,FALSE,NA,39,151,14698,FALSE,TRUE,FALSE,c(610773.503503876, 5041419.00416961),FALSE,FALSE,120
"454","ab-31041558","PLATEAU FEEL (9br/4bath)","Entire home/apt",2018-12-31,2019-05-21,31041558,229505184,NA,NA,24661946,FALSE,NA,17,141,13817,FALSE,TRUE,FALSE,c(610849.620633739, 5041355.89291485),FALSE,FALSE,120
"455","ab-31041689","TRIPLEX PLATEAU (7br/4.5bath)","Entire home/apt",2018-12-31,2019-05-22,31041689,229505184,NA,NA,24661438,FALSE,NA,31,151,21528,FALSE,TRUE,FALSE,c(610217.95472937, 5042667.22155891),FALSE,FALSE,120
"456","ab-31041775","PERFECT PLATEAU CONDO","Entire home/apt",2018-12-31,2019-05-24,31041775,229505184,NA,NA,24661833,FALSE,NA,30,151,6420,FALSE,TRUE,FALSE,c(610469.097941874, 5042333.8025644),FALSE,FALSE,120
"457","ab-31042909","ENTIRE DUPLEX PLATEAU","Entire home/apt",2018-12-31,2019-05-24,31042909,229505184,NA,NA,24663346,FALSE,NA,50,151,20933,FALSE,TRUE,FALSE,c(611493.214673678, 5041146.14995739),FALSE,FALSE,120
"458","ab-31043803","Renovated Plateau Apartment","Entire home/apt",2019-01-07,2019-05-24,31043803,229505184,NA,NA,24661959,FALSE,NA,39,120,6713,FALSE,TRUE,FALSE,c(610776.729714527, 5041369.05197075),FALSE,FALSE,113
"459","ab-31044001","PLATEAU GAMEPAD","Entire home/apt",2018-12-31,2019-05-23,31044001,229505184,NA,NA,24661945,FALSE,NA,36,151,12366,FALSE,TRUE,FALSE,c(610922.993481977, 5041227.16635245),FALSE,FALSE,120
"460","ab-31044656","Appartement au centre ville de Montréal","Entire home/apt",2018-12-31,2019-01-06,31044656,49558396,NA,NA,24661272,FALSE,NA,1,151,59,FALSE,TRUE,FALSE,c(611610.792659466, 5040658.91391252),FALSE,FALSE,120
"461","ab-31054598","Big House with Terrasse on the Plateau","Entire home/apt",2019-03-18,2019-05-21,31054598,229505184,NA,NA,24661940,FALSE,NA,5,55,5028,FALSE,TRUE,FALSE,c(611273.190437501, 5040908.86549353),FALSE,FALSE,43
"462","ab-31056419","4br2bath W/ Sundeck!","Entire home/apt",2018-12-31,2019-05-21,31056419,229505184,NA,NA,24663347,FALSE,NA,38,147,10672,FALSE,TRUE,FALSE,c(611523.613782309, 5040974.43597642),FALSE,FALSE,120
"463","ab-31056601","Townhouse (6br) at Mount Royal!","Entire home/apt",2018-12-31,2019-05-21,31056601,229505184,NA,NA,24661276,FALSE,NA,30,148,7265,FALSE,TRUE,FALSE,c(611200.636083953, 5040594.18735663),FALSE,FALSE,120
"464","ab-31060577","1-Bedroom Apartment Downtown Montreal","Entire home/apt",2018-12-31,2019-05-17,31060577,232027194,NA,NA,24661278,FALSE,NA,8,151,316,FALSE,FALSE,FALSE,c(611064.709361286, 5040371.73862182),FALSE,TRUE,120
"465","ab-31063354","Grande chambre dans condo sur Plateau Mont-Royal","Private room",2018-12-31,2019-05-20,31063354,5537440,NA,NA,24661826,FALSE,NA,19,151,852,FALSE,FALSE,FALSE,c(610575.461738297, 5043123.60121256),FALSE,TRUE,120
"466","ab-31069425","Fresh & Styled 2 bedroom Apt in Mile End","Entire home/apt",2018-12-26,2019-05-22,31069425,487327,NA,NA,24661378,FALSE,NA,79,148,4732,FALSE,TRUE,FALSE,c(609392.849845043, 5042144.89981563),FALSE,FALSE,125
"467","ab-31071333","3 Bedroom Plateau Apartment","Entire home/apt",2019-01-01,2019-04-12,31071333,150717787,NA,NA,24661427,FALSE,NA,0,151,0,FALSE,TRUE,FALSE,c(610283.989378041, 5042021.59819816),FALSE,FALSE,119
"468","ab-31073859","PLATEAU 4br NYE 2018!","Entire home/apt",2019-01-07,2019-01-30,31073859,150717787,NA,NA,24661269,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(611620.260236081, 5041004.72762303),FALSE,FALSE,113
"469","ab-31082485","Big room for cozzy stay on Plateau Mt Royal best","Private room",2019-01-07,2019-05-23,31082485,11934099,NA,NA,24661440,FALSE,NA,47,120,3203,FALSE,FALSE,FALSE,c(610277.531188349, 5042832.74397784),FALSE,TRUE,113
"470","ab-31083936","Pretty modern condo, Netflix,Free Parking,downtown","Entire home/apt",2019-01-02,2019-02-19,31083936,232231966,NA,NA,24661790,FALSE,NA,79,139,5183,FALSE,FALSE,FALSE,c(612458.203411507, 5043506.59110506),FALSE,TRUE,118
"471","ab-31084251","Top location!! 5 bedrooms, 7 beds, SPOTLESS CLEAN!","Entire home/apt",2019-01-07,2019-05-24,31084251,124253657,NA,NA,24661383,FALSE,NA,69,120,7534,FALSE,TRUE,TRUE,c(609300.321048121, 5041806.55983808),FALSE,TRUE,113
"472","ab-31084252","Bel appartement 2 chambres Plateau-Mont-Royal","Entire home/apt",2018-12-25,2019-04-06,31084252,14294059,NA,NA,24661817,FALSE,NA,62,143,3732,FALSE,FALSE,FALSE,c(611020.077237209, 5043244.81587092),FALSE,TRUE,126
"473","ab-31099902","~ cute room on the plateau ~","Private room",2018-12-28,2019-04-06,31099902,232383903,NA,NA,24661804,FALSE,NA,32,141,806,FALSE,FALSE,FALSE,c(611751.19164773, 5043416.72919119),FALSE,TRUE,123
"474","ab-31102303","Junior downtown luxury suite","Entire home/apt",2019-01-07,2019-05-21,31102303,72380635,NA,NA,24661940,FALSE,NA,85,120,5412,FALSE,TRUE,FALSE,c(611422.719307864, 5041068.21608637),FALSE,FALSE,113
"475","ab-31113066","Beautiful 5 Bedroom Plateau Apartment!","Entire home/apt",2019-01-07,2019-01-16,31113066,202063741,NA,NA,24663346,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(611538.71307663, 5041276.62018079),FALSE,FALSE,113
"476","ab-31113331","Perfect Plateau 4 Bedroom!","Entire home/apt",2019-01-07,2019-01-19,31113331,202063741,NA,NA,24663346,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(611484.829884423, 5041128.05719174),FALSE,FALSE,113
"477","ab-31113601","9 bdrm Heart of Plateau! (NYE Special!!)","Entire home/apt",2019-01-07,2019-01-16,31113601,202063741,NA,NA,24663346,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(611491.336546801, 5041131.21281565),FALSE,FALSE,113
"478","ab-31120846","Trendy one bedroom apartment best location Plateau","Entire home/apt",2019-01-07,2019-05-03,31120846,124842459,NA,NA,24661954,FALSE,NA,53,117,3373,FALSE,TRUE,FALSE,c(611016.160549772, 5041922.27684771),FALSE,FALSE,113
"479","ab-31121565","Spacious Plateau Apartment!","Entire home/apt",2019-01-07,2019-01-16,31121565,202063741,NA,NA,24661945,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(610917.216412205, 5041130.9859593),FALSE,FALSE,113
"480","ab-31121720","Sunny Apartment in the Plateau!","Entire home/apt",2019-01-07,2019-01-19,31121720,202063741,NA,NA,24661959,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(610909.712529686, 5041326.09194534),FALSE,FALSE,113
"481","ab-31125209","Chambre dans grand appart. lumineux sur le Plateau","Private room",2019-01-07,2019-05-22,31125209,4881773,NA,NA,24661837,FALSE,NA,25,120,960,FALSE,FALSE,FALSE,c(610956.763337228, 5042276.84710478),FALSE,TRUE,113
"482","ab-31126065","Bright Studio in Mile End","Entire home/apt",2018-12-29,2019-02-26,31126065,223383439,NA,NA,24661377,FALSE,NA,40,148,2032,FALSE,TRUE,FALSE,c(609455.552685492, 5042267.12687243),FALSE,FALSE,122
"483","ab-31143411","Charmant appartement a partager au parc Lafontaine","Private room",2018-12-30,2019-02-05,31143411,2556903,NA,NA,24661889,FALSE,NA,3,151,134,FALSE,FALSE,FALSE,c(611955.219943886, 5042840.82735777),FALSE,TRUE,121
"484","ab-31187214","Grande chambre dans 6 1/2 au coeur du Plateau","Private room",2018-12-31,2019-05-21,31187214,193064438,NA,NA,24661838,FALSE,NA,51,132,1243,FALSE,FALSE,FALSE,c(611053.128825437, 5041996.27852344),FALSE,TRUE,120
"485","ab-31188051","Chambre fermée - Parc Lafontaine - Plateau","Private room",2019-01-06,2019-03-10,31188051,141930,NA,NA,24661892,FALSE,NA,7,120,209,FALSE,FALSE,FALSE,c(611821.586238732, 5042885.66015537),FALSE,TRUE,114
"486","ab-31188769","Townhouse in the Plateau/Mont Royal!","Entire home/apt",2019-01-07,2019-05-21,31188769,229505184,NA,NA,24661437,FALSE,NA,24,120,11291,FALSE,TRUE,FALSE,c(610196.461222025, 5042690.1812699),FALSE,FALSE,113
"487","ab-31190036","Great Place in Perfect Location!","Entire home/apt",2019-01-07,2019-05-24,31190036,229505184,NA,NA,24661265,FALSE,NA,45,120,5551,FALSE,TRUE,FALSE,c(611971.385394513, 5041057.98412402),FALSE,FALSE,113
"488","ab-31191257","Plateau Mont Royal 3br!","Entire home/apt",2019-01-07,2019-05-21,31191257,229505184,NA,NA,24661954,FALSE,NA,16,120,2709,FALSE,TRUE,FALSE,c(611209.364150087, 5041600.08437986),FALSE,FALSE,113
"489","ab-31191447","5 Bedroom in the Plateau Mont Royal!","Entire home/apt",2019-01-07,2019-05-21,31191447,229505184,NA,NA,24661947,FALSE,NA,10,120,1408,FALSE,TRUE,FALSE,c(611063.370008411, 5041638.61557048),FALSE,FALSE,113
"490","ab-31191629","8br DUPLEX in Plateau Mont Royal!","Entire home/apt",2019-01-07,2019-05-23,31191629,229505184,NA,NA,24661954,FALSE,NA,16,120,7686,FALSE,TRUE,FALSE,c(611106.3315561, 5041727.17077924),FALSE,FALSE,113
"491","ab-31193447","Private room with 2 beds in Plateau!","Private room",2019-01-07,2019-01-31,31193447,853243,NA,NA,24661425,FALSE,NA,1,116,38,FALSE,FALSE,FALSE,c(610358.383775025, 5042092.13364464),FALSE,TRUE,113
"492","ab-31209226","Nice and quite apartment","Entire home/apt",2019-01-13,2019-05-19,31209226,161438626,NA,NA,24661416,FALSE,NA,33,115,1780,FALSE,TRUE,TRUE,c(609941.485129769, 5041506.6024582),FALSE,TRUE,107
"493","ab-31217955","Plateau room for rent / chambre a louer Plateau","Private room",2019-01-02,2019-05-21,31217955,228213086,NA,NA,24661891,FALSE,NA,81,127,1362,FALSE,FALSE,FALSE,c(612049.677678177, 5042928.62990614),FALSE,TRUE,118
"494","ab-31257587","*A Gem in the heart of Le Plateau* Indoor parking","Entire home/apt",2019-01-06,2019-05-21,31257587,20844652,NA,NA,24661911,FALSE,NA,77,118,14080,FALSE,TRUE,TRUE,c(610697.224642399, 5043172.42598495),FALSE,TRUE,114
"495","ab-31258913","Fantastic private room","Private room",2019-02-25,2019-05-23,31258913,46488200,NA,NA,24661941,FALSE,NA,34,89,646,FALSE,TRUE,FALSE,c(611174.241513326, 5041069.36303893),TRUE,FALSE,64
"496","ab-31264292","A professional stay for a professional traveller","Entire home/apt",2019-01-13,2019-05-24,31264292,233942358,NA,NA,24661419,FALSE,NA,20,120,1665,FALSE,FALSE,FALSE,c(609967.819996507, 5041385.93138996),FALSE,TRUE,107
"497","ab-31310150","Spacious Loft Plateau Mont-Royal","Entire home/apt",2019-01-28,2019-05-23,31310150,234347155,NA,NA,24661889,FALSE,NA,29,120,3914,FALSE,FALSE,FALSE,c(611944.065081509, 5042806.71965226),FALSE,TRUE,92
"498","ab-31333617","Modern Apartment in Le Plateau","Entire home/apt",2019-02-04,2019-03-05,31333617,198068937,NA,NA,24663342,FALSE,NA,41,94,2640,FALSE,TRUE,FALSE,c(611443.352482118, 5041797.60829452),FALSE,FALSE,85
"499","ab-31333636","Loft Apartment in the Mile end","Entire home/apt",2019-02-04,2019-03-31,31333636,198068937,NA,NA,24661377,FALSE,NA,39,90,3139,FALSE,TRUE,TRUE,c(609518.521131798, 5042150.42780351),FALSE,TRUE,85
"500","ab-31341985","rOmantic cottage feel *","Entire home/apt",2019-01-16,2019-02-19,31341985,33605113,NA,NA,24661946,FALSE,NA,11,120,1563,FALSE,TRUE,TRUE,c(611256.234106004, 5041374.90966269),FALSE,TRUE,104
"501","ab-31361146","Appartement en plein centre, parking pour voiture","Private room",2019-01-21,2019-04-19,31361146,37879713,NA,NA,24661851,FALSE,NA,8,106,608,FALSE,FALSE,FALSE,c(612175.95416935, 5042157.40562107),FALSE,TRUE,99
"502","ab-31373170","Superb Newly renovated 2 bedroom suite - S8","Entire home/apt",2019-01-21,2019-05-21,31373170,119617572,NA,NA,24661959,TRUE,500014923,39,106,3126,FALSE,TRUE,TRUE,c(610738.675136785, 5041356.15538315),FALSE,TRUE,99
"503","ab-31379394","DL | Modern French 3bedrooms Mile End/Plateau","Entire home/apt",2019-01-21,2019-05-02,31379394,156065758,NA,NA,24661371,FALSE,NA,36,107,3430,FALSE,TRUE,FALSE,c(608860.580264525, 5042566.82153543),FALSE,FALSE,99
"504","ab-31379491","Urban feel w garage - Steps from DT MTL + McGill","Entire home/apt",2019-01-21,2019-05-21,31379491,232270465,NA,NA,24661277,FALSE,NA,36,108,3148,FALSE,TRUE,FALSE,c(611100.807643231, 5040451.28126255),FALSE,FALSE,99
"505","ab-31381827","7 units apartment in Downtown Montreal7️⃣","Entire home/apt",2019-01-21,2019-05-20,31381827,164923431,NA,NA,24661280,FALSE,NA,47,115,2934,FALSE,TRUE,FALSE,c(611498.611075494, 5040227.18553618),FALSE,FALSE,99
"506","ab-31403422","Private Room in a spacious flat on the Plateau!!!","Private room",2019-01-21,2019-05-22,31403422,25401114,NA,NA,24661822,FALSE,NA,86,112,2445,FALSE,FALSE,FALSE,c(610618.343235309, 5043658.90190997),FALSE,TRUE,99
"507","ab-31417729","Room to rent in Le Plateau","Private room",2019-01-09,2019-03-08,31417729,5236545,NA,NA,24661895,FALSE,NA,72,120,2115,FALSE,FALSE,FALSE,c(611533.702510703, 5043086.12562444),FALSE,TRUE,111
"508","ab-31438643","201 Appart au coeur de Montréal super emplacement","Entire home/apt",2019-01-21,2019-05-21,31438643,114336380,NA,NA,24661425,FALSE,NA,77,120,2475,FALSE,TRUE,FALSE,c(610530.564864197, 5042170.41131338),FALSE,FALSE,99
"509","ab-31439588","DL | Priceless View over Mont Royal Park 12 guests","Entire home/apt",2019-01-17,2019-05-21,31439588,156065758,"7601069",NA,24661418,FALSE,NA,49,120,9056,FALSE,TRUE,FALSE,c(610087.860053288, 5041223.56356467),FALSE,FALSE,103
"510","ab-31468417","Spacious Room in the Heart of the Plateau","Private room",2019-01-12,2019-01-15,31468417,230248600,NA,NA,24661269,FALSE,NA,11,111,232,FALSE,FALSE,FALSE,c(611608.239763362, 5040985.24264465),FALSE,TRUE,108
"511","ab-31493454","Big House in the Plateau!","Entire home/apt",2019-01-21,2019-05-21,31493454,229505184,NA,NA,24661941,FALSE,NA,13,120,7526,FALSE,TRUE,FALSE,c(611245.836221813, 5041129.53242942),FALSE,FALSE,99
"512","ab-31493698","Newly Renovated Plateau Apartment!","Entire home/apt",2019-01-21,2019-05-24,31493698,229505184,NA,NA,24661940,FALSE,NA,29,120,3618,FALSE,TRUE,FALSE,c(611212.914726472, 5041003.36966969),FALSE,FALSE,99
"513","ab-31496492","Clean Studio  apartment in heart of MTL Downtown1️⃣","Entire home/apt",2019-01-21,2019-05-21,31496492,164923431,NA,NA,24661280,FALSE,NA,26,116,1541,FALSE,TRUE,FALSE,c(611436.352272323, 5040432.78430567),FALSE,FALSE,99
"514","ab-31508283","Awesome Plateau Apartment!","Entire home/apt",2019-01-21,2019-05-20,31508283,229505184,NA,NA,24663346,FALSE,NA,27,120,3220,FALSE,TRUE,FALSE,c(611476.537979178, 5041249.20619225),FALSE,FALSE,99
"515","ab-31508564","Perfect Plateau Apartment!","Entire home/apt",2019-01-21,2019-05-17,31508564,229505184,NA,NA,24663346,FALSE,NA,33,120,3511,FALSE,TRUE,FALSE,c(611538.517136911, 5041234.74976358),FALSE,FALSE,99
"516","ab-31508760","9 bedrooms in the heart of PLATEAU!","Entire home/apt",2019-01-21,2019-05-21,31508760,229505184,NA,NA,24663346,FALSE,NA,10,120,4297,FALSE,TRUE,FALSE,c(611493.573669356, 5041301.74105932),FALSE,FALSE,99
"517","ab-31512381","Bright 2 Bedroom!","Entire home/apt",2019-01-21,2019-05-21,31512381,229505184,NA,NA,24661964,FALSE,NA,8,119,879,FALSE,TRUE,FALSE,c(610665.205994066, 5041800.49573991),FALSE,FALSE,99
"518","ab-31512750","4 Bedrooms in Super Location!","Entire home/apt",2019-01-21,2019-05-20,31512750,229505184,NA,NA,24661957,FALSE,NA,12,120,2805,FALSE,TRUE,FALSE,c(610515.618204304, 5041644.49596499),FALSE,FALSE,99
"519","ab-31512908","Superb 2 Bedroom in BEST SPOT!","Entire home/apt",2019-01-21,2019-05-21,31512908,229505184,NA,NA,24661957,FALSE,NA,3,119,542,FALSE,TRUE,FALSE,c(610629.921821877, 5041852.10490075),FALSE,FALSE,99
"520","ab-31513149","Colourful 2 Bedroom!","Entire home/apt",2019-01-21,2019-05-20,31513149,229505184,NA,NA,24661962,FALSE,NA,14,120,1807,FALSE,TRUE,FALSE,c(610547.815209288, 5041635.06168983),FALSE,FALSE,99
"521","ab-31513415","Bright and Spacious 4 Bedroom!","Entire home/apt",2019-01-21,2019-05-20,31513415,229505184,NA,NA,24661957,FALSE,NA,14,118,3418,FALSE,TRUE,FALSE,c(610597.952800499, 5041671.50789072),FALSE,FALSE,99
"522","ab-31514285","2 Bedroom in Best Plateau Location!","Entire home/apt",2019-01-16,2019-05-24,31514285,229505184,NA,NA,24661945,FALSE,NA,24,119,1807,FALSE,TRUE,FALSE,c(610898.530443713, 5041196.72818206),FALSE,FALSE,104
"523","ab-31514482","Plateau Hang Out!","Entire home/apt",2019-01-28,2019-05-20,31514482,229505184,NA,NA,24661945,FALSE,NA,33,120,4970,FALSE,TRUE,FALSE,c(610905.584610607, 5041327.98820291),FALSE,FALSE,92
"524","ab-31514776","Great Apartment - Awesome Spot!","Entire home/apt",2019-01-28,2019-05-24,31514776,229505184,NA,NA,24661959,FALSE,NA,23,119,3263,FALSE,TRUE,FALSE,c(610872.220862031, 5041270.72113715),FALSE,FALSE,92
"525","ab-31515030","Big Spot in The PLATEAU!","Entire home/apt",2019-01-28,2019-05-22,31515030,229505184,NA,NA,24661959,FALSE,NA,8,119,4719,FALSE,TRUE,FALSE,c(610785.191701665, 5041288.07544366),FALSE,FALSE,92
"526","ab-31515280","Great Plateau Apartment!","Entire home/apt",2019-01-28,2019-05-18,31515280,229505184,NA,NA,24661961,FALSE,NA,19,119,3066,FALSE,TRUE,FALSE,c(610785.910192803, 5041114.72299109),FALSE,FALSE,92
"527","ab-31515412","Perfect Group Place in the Plateau!","Entire home/apt",2019-01-28,2019-05-22,31515412,229505184,NA,NA,24661959,FALSE,NA,6,115,4265,FALSE,TRUE,FALSE,c(610791.357428466, 5041337.08224252),FALSE,FALSE,92
"528","ab-31531160","Bedroom by McGill University Downtown","Private room",2019-01-28,2019-01-28,31531160,236286457,NA,NA,24661281,FALSE,NA,9,117,207,FALSE,FALSE,FALSE,c(611369.372947141, 5040360.05641353),FALSE,TRUE,92
"529","ab-31532954","Your home away from home... [Free Parking & Wifi]","Entire home/apt",2019-01-17,2019-05-24,31532954,75890617,NA,NA,24661279,FALSE,NA,90,109,5604,FALSE,TRUE,TRUE,c(611373.718474678, 5040351.65709308),FALSE,TRUE,103
"530","ab-31543086","Montreal getaway right next to the park","Entire home/apt",2019-01-14,2019-05-23,31543086,62357786,NA,NA,24661898,FALSE,NA,100,120,3239,FALSE,FALSE,FALSE,c(611382.682983191, 5042442.20742424),FALSE,TRUE,106
"531","ab-31571546","Minimalist Private Room in Beautiful Plateau","Private room",2019-01-16,2019-01-22,31571546,83538486,NA,NA,24661942,FALSE,NA,34,106,728,FALSE,TRUE,FALSE,c(610840.837180546, 5041103.48721133),TRUE,FALSE,104
"532","ab-31571611","Beautiful Private room in Plateau Montréal","Private room",2019-01-28,2019-05-20,31571611,83538486,NA,NA,24661958,FALSE,NA,107,114,2277,FALSE,TRUE,FALSE,c(610837.39905715, 5041340.11847163),TRUE,FALSE,92
"533","ab-31593724","Downtown Montreal (Place des Arts Metro)","Private room",2019-01-17,2019-03-05,31593724,236832878,NA,NA,24661262,FALSE,NA,9,119,441,FALSE,FALSE,FALSE,c(611890.909881572, 5040707.5929757),FALSE,TRUE,103
"534","ab-31596627","Large & Sunny w Private pkg - McGill & DT MTL","Entire home/apt",2019-01-28,2019-05-23,31596627,232270465,NA,NA,24661285,FALSE,NA,57,108,4726,FALSE,TRUE,FALSE,c(611151.784181509, 5040264.37199463),FALSE,FALSE,92
"535","ab-31596962","2-bedroom basement apt - McGill + Downtown MTL","Entire home/apt",2019-01-28,2019-01-31,31596962,232270465,NA,NA,24661278,FALSE,NA,7,117,666,FALSE,TRUE,FALSE,c(611033.661826587, 5040475.83836003),FALSE,FALSE,92
"536","ab-31617312","Le cocon du plateau","Entire home/apt",2019-01-20,2019-03-20,31617312,210101126,NA,NA,24661821,FALSE,NA,72,120,3104,FALSE,FALSE,FALSE,c(610623.874745075, 5043566.76011832),FALSE,TRUE,100
"537","ab-31622142","Grande chambre avec salon privé Mont-Royal","Private room",2019-02-25,2019-02-25,31622142,43367645,NA,NA,24661835,FALSE,NA,1,89,38,FALSE,FALSE,FALSE,c(610683.881702184, 5042158.66909631),FALSE,TRUE,64
"538","ab-31622835","Mnotreal plateau mont-royal","Entire home/apt",2019-01-19,2019-01-30,31622835,195398147,NA,NA,24661894,FALSE,NA,40,110,1980,FALSE,TRUE,TRUE,c(611458.869999381, 5043238.22340143),FALSE,TRUE,101
"539","ab-31623369","10bdrm 4bath PLATEAU","Entire home/apt",2019-01-28,2019-05-24,31623369,229505184,NA,NA,24661945,FALSE,NA,25,120,22999,FALSE,TRUE,FALSE,c(610875.934289733, 5041237.44732024),FALSE,FALSE,92
"540","ab-31624942","2 Bedroom Penthouse View on Place-des-Arts/DownT 7","Entire home/apt",2019-01-28,2019-05-23,31624942,50027321,NA,NA,24661282,FALSE,NA,84,108,6078,FALSE,TRUE,FALSE,c(611677.805568774, 5040432.63310544),FALSE,FALSE,92
"541","ab-31643002","The Peaceful Room- Downtown Mtl - R1","Private room",2019-01-23,2019-03-05,31643002,152249282,NA,NA,24661270,FALSE,NA,46,120,1192,FALSE,TRUE,FALSE,c(611500.148977039, 5040843.99446113),TRUE,FALSE,97
"542","ab-31645561","The Warm Room- Downtown Mtl- R4","Private room",2019-01-20,2019-03-16,31645561,152249282,NA,NA,24661269,FALSE,NA,54,110,1359,FALSE,TRUE,FALSE,c(611532.836436728, 5040851.24356146),TRUE,FALSE,100
"543","ab-31645974","The Cozy Room- Downtown Mtl- R3","Private room",2019-01-21,2019-03-18,31645974,152249282,NA,NA,24661944,FALSE,NA,50,120,1302,FALSE,TRUE,FALSE,c(611434.505948707, 5040800.59774003),TRUE,FALSE,99
"544","ab-31646057","*PARKING* 2 Floor, Spacious Apt Middle of Downtown","Entire home/apt",2019-01-23,2019-03-09,31646057,222433393,NA,NA,24661278,FALSE,NA,49,110,3289,FALSE,TRUE,FALSE,c(611143.808861076, 5040317.57383251),FALSE,FALSE,97
"545","ab-31646318","*Spacious 2 BDR Apartment* Middle of Downtown!","Entire home/apt",2019-01-23,2019-03-09,31646318,222433393,NA,NA,24663358,FALSE,NA,58,112,4515,FALSE,TRUE,FALSE,c(611104.028734193, 5040313.53519753),FALSE,FALSE,97
