"","Property_ID","Listing_Title","Listing_Type","Created","Scraped","Airbnb_PID","Airbnb_HID","HomeAway_PID","HomeAway_HID","winner","Permit","ETBL_ID","n_reserved","n_available","revenue","FREH","ML","LFRML","geometry","GH","Legal","n_diff"
"62","ab-26250664","Renovated 3 Bed in Plateau!","Entire home/apt",2018-06-29,2018-07-16,26250664,68002838,NA,NA,24661959,FALSE,NA,0,328,0,FALSE,TRUE,FALSE,c(610697.690948333, 5041193.16970438),FALSE,FALSE,305
"63","ab-26251180","Newly Renovated Penthouse in Plateau!","Entire home/apt",2018-06-29,2018-11-18,26251180,185080449,NA,NA,24661959,FALSE,NA,5,331,2256,FALSE,TRUE,FALSE,c(610825.724448353, 5041147.96698273),FALSE,FALSE,305
"64","ab-26255195","8 Bedroom in Heart of Plateau!","Entire home/apt",2018-06-29,2018-08-21,26255195,185080449,NA,NA,24661958,FALSE,NA,6,326,3455,FALSE,TRUE,FALSE,c(610940.59855529, 5041386.59506536),FALSE,FALSE,305
"65","ab-26261751","Bright and Beautiful [ PARKING + WIFI ]","Entire home/apt",2018-06-29,2019-05-22,26261751,192894459,NA,NA,24661281,FALSE,NA,195,310,11638,TRUE,TRUE,FALSE,c(611359.160334304, 5040291.3875227),FALSE,FALSE,305
"66","ab-26322170","4 Bed Right on Prince Arthur!","Entire home/apt",2018-06-28,2018-07-10,26322170,126032950,NA,NA,24661940,FALSE,NA,2,329,2360,FALSE,TRUE,FALSE,c(611448.561829, 5041036.12032001),FALSE,FALSE,306
"67","ab-26329778","Cozy Bedroom in flatshare, Montreal City Center","Private room",2018-06-29,2018-07-11,26329778,70186587,NA,NA,24661858,FALSE,NA,29,317,912,FALSE,FALSE,FALSE,c(612115.345373534, 5041549.54952197),FALSE,TRUE,305
"68","ab-26329983","Chic 3BR in The Plateau by LeQube","Entire home/apt",2018-07-06,2019-05-22,26329983,1761366,NA,NA,24661838,TRUE,500016065,141,321,19223,TRUE,TRUE,FALSE,c(611062.263063556, 5041877.52928451),FALSE,TRUE,298
"69","ab-26331012","Cozy Studio in The Plateau by LeQube","Entire home/apt",2018-07-06,2019-05-24,26331012,1761366,NA,NA,24661956,TRUE,500016065,189,324,14849,TRUE,TRUE,FALSE,c(611062.742624133, 5041938.6602721),FALSE,TRUE,298
"70","ab-26332835","Gorgeous Studio Quartier Spectacles (Free Parking)","Entire home/apt",2018-07-02,2019-05-23,26332835,198036167,NA,NA,24661858,FALSE,NA,237,305,20084,TRUE,FALSE,FALSE,c(611966.414124206, 5041380.17884797),FALSE,FALSE,302
"71","ab-26335116","Huge room at the feet of the Mount-Royal mountain","Private room",2018-06-29,2018-07-18,26335116,25902167,NA,NA,24661417,FALSE,NA,35,321,1330,FALSE,FALSE,FALSE,c(610147.423515032, 5041471.15534409),FALSE,TRUE,305
"72","ab-26399571","Spacious Downtown Apartment. Great location.","Entire home/apt",2018-07-04,2018-08-26,26399571,171850503,NA,NA,24662114,FALSE,NA,66,328,6769,FALSE,FALSE,FALSE,c(611721.484104239, 5040650.59672878),FALSE,TRUE,300
"73","ab-26421568","Appartement Exceptionnel En Plein Coeur Du Plateau","Private room",2018-07-28,2018-10-23,26421568,198659580,NA,NA,24663347,FALSE,NA,48,283,3095,FALSE,FALSE,FALSE,c(611409.108705472, 5041134.64211968),FALSE,TRUE,276
